Наименование товара;Артикул;Розничная цена;Остаток на складе
Испаряющий элемент Brinsea для Ova-Easy 380 3 шт.;14_93;3170.00;0
Лоток для куриных яиц Brinsea Ova-Easy;17_77;2460.00;20
Лоток для перепелиных яиц Brinsea Ova-Easy;17_80;2500.00;0
Салфетка испарительная А4 5 шт.;14_041;1210.00;8
Насадка Egg Scope для овоскопа Brinsea;F200;2600.00;10
Термометр Brinsea цифровой поверочный для инкубатора;25_64;3510.00;0
Брудер-питомник Brinsea TLC-40 Advance профессиональный ;HD401A;67900.00;3
Брудер-питомник Brinsea TLC-50 Advance профессиональный ;HD411A;85300.00;6
Овоскоп Brinsea Ova-View Standart;F180;2870.00;8
Овоскоп Brinsea Ova-View Hi Intensity;F190;4580.00;0
Помпа системы увлажнения Brinsea Ova-Easy 100/190/380/580;AD25;16800.00;1
Инкубатор Rcom Maru 190 Deluxe MAX автоматический для яиц;MX-190CD;122700.00;15
Инкубатор Brinsea Ova-Easy Advance EX ser II 380 автоматический для яиц с помпой;MJ3833A;149600.00;4
Инкубатор Brinsea Ova-Easy Advance EX ser II 190 автоматический для яиц с помпой;MJ1933A;120600.00;7
Инкубатор Brinsea Ova-Easy Advance EX ser II 580 автоматический для яиц с помпой;MJ5833A;193700.00;4
Выводной инкубатор Brinsea Ova-Easy Advance EX Hatcher ser II с помпой автоматический;MJ4933A;117200.00;1
Кормушка бункерная TAY 10-12 кг пластик без крышки;AF-A-14;1560.00;31
Планка для пола ;543/00;450.00;2
Панель обогревательная Comfort 40х60 см 56 Вт для цыплят;WP-60;7180.00;2
Панель обогревательная Comfort с температурным регулятором 40х60 см 56 Вт для цыплят;WP-60R;8460.00;28
Инкубатор Brinsea Mini II EX 7 автоматический для яиц;AB17;25900.00;8
Клетка для кроликов 102 см двухсекционная с гнездами для самок;181/20C;24400.00;3
Поилка-кормушка навесная 300 мл;VK300W;726.00;0
Поилка-кормушка навесная 400 мл;VK400W;981.00;60
Поилка-кормушка навесная 600 мл;VK600W;1030.00;0
Кормушка/поилка 8 литров для поросят;10057;6690.00;0
Кормушка бункерная 18 кг оцинкованная сталь;013/30C;4790.00;51
Кормушка бункерная 40 кг оцинкованная сталь;013/40C;9000.00;0
Автокормушка Petwant PF-102 4,3 л для сухого корма, черная;PF-102-Black;9480.00;152
Панель обогревательная Comfort 40х50 см 46 Вт для цыплят;WP-50;6410.00;3
Панель обогревательная Comfort с температурным регулятором 40х50 см 46 Вт для цыплят;WP-50R;7690.00;11
Панель обогревательная Comfort 40х40 см 38 Вт для цыплят;WP-40;5640.00;5
Панель обогревательная Comfort с температурным регулятором 40х40 см 38 Вт для цыплят;WP-40R;6920.00;12
Панель обогревательная Comfort 25х25 см 13 Вт для цыплят;WP-25;3840.00;34
Панель обогревательная Comfort с температурным регулятором 25х25 см 13 Вт для цыплят;WP-25R;5130.00;19
Удлинитель 9 см,  внешняя/внутреняя резьба 1/8“-1/8“;4308;67.00;529
Удлинитель 12 см, внешняя/внутреняя резьба 1/8“-1/8“;4305;78.00;51
Когтеточка-домик 40х40х70 см, коричневый;SBE928;12500.00;86
Когтеточка-комплекс с домиком 46х30х60 см, черный;PS530;6820.00;71
Когтеточка-лежак 3 этажа 46х30х65 см, серый;PS529-1;5000.00;59
Когтеточка-домик 35х35х38 см, черный;PS276;6580.00;4
Когтеточка-домик 40х35х55 см, серый;PS597;10100.00;57
Когтеточка-лежак 40х40х43 см, серый;PS707;6240.00;126
Когтеточка-лежак 40х30х30 см, кремовый;PS689;4200.00;85
Когтеточка-комплекс 25х35х67 см, черный;PS675;4370.00;94
Когтеточка-домик 40х40х45 см, черный;PS436-1;9670.00;40
Когтеточка-комплекс 40х35х80 см, шоколадный;PS223;8440.00;210
Когтеточка-комплекс 40х30х67 см, с подушками, кремовый;SBE975-Cream;5780.00;94
Когтеточка-комплекс с домиком 40х30х67 см, шоколадный;SBE975-Chocolate;5780.00;129
Когтеточка-комплекс 30х30х88 см, кремовый;SBE812-Cream;4560.00;130
Когтеточка-комплекс 30х30х88 см, темно-синий;SBE812-Dark_Blue;4300.00;68
Когтеточка-домик для котят Pet Choice, 26х26х50 см, темно-синий;SBE307-2;1540.00;0
Когтеточка-лежак 40х42х30 см, бежевый;PS685;6030.00;84
Когтеточка-лежак 40х42х30 см, кремовый;PS687-Cream;6280.00;57
Когтеточка-лежак 40х42х30 см, графит;PS687-Grey;6280.00;54
Когтеточка-лежак 40х40х23 см с игрушкой, бежевый;PS686;4090.00;50
Когтеточка-комплекс 40х40х108 см, серый;PS167;9110.00;106
Когтеточка-волна 48х25х33 см, кремовый;SBE7011-Cream;2960.00;37
Когтеточка-волна 48х25х33 см, темно-синий;SBE7011-Dark_Blue;2960.00;181
Когтеточка-волна 48х25х33 см, бежевый;SBE7011-Beige;2790.00;178
Когтеточка-домик 30х30х57 см, темно-серый;SBE307-Dark_Grey;2660.00;0
Когтеточка-домик 30х30х57 см, темно-синий;SBE307-Dark_Blue;2510.00;0
Когтеточка-домик 31х31х70 см, бежевый;SBE1952-Beige;2660.00;124
Когтеточка-комплекс 36х36х88 см, темно-серый;SBE892-Dark_Grey;7200.00;120
Когтеточка-комплекс 36х36х88 см, кремовый;SBE892-Cream;6790.00;69
Автокормушка Petwant F3-Wifi 2,8 л для сухого корма без видеокамеры, Wi-Fi (IOS/Android);F3-Wifi;10600.00;58
Автокормушка Petwant F3-Led 2,8 л для сухого корма белая с Led панелью;F3-Led;9480.00;75
Поилка-шарик для кроликов, розовый;XM1068P;313.00;41
Кормушка-поилка лотковая 50 см пластик для цыплят;0444A0000;693.00;179
Кормушка-поилка лотковая 40 см пластик для цыплят;0443A0000;647.00;113
Кормушка-поилка лотковая 30 см пластик для цыплят;0442A0000;567.00;147
Кормушка-поилка лотковая 75 см пластик для кур;0447A0000;1220.00;122
Кормушка-поилка лотковая 50 см пластик для кур;0446A0000;1080.00;104
Кормушка бункерная 7 кг пластик с разделительной решеткой;2005AF000;2280.00;108
Кормушка бункерная 15 кг пластик с разделительной решеткой для кур;1940AF000;3280.00;209
Овоскоп Novital ;0243A0000;2050.00;18
Поилка под бутылку Ниагара для кроликов и птиц, пластик/металл ;1945A0000;643.00;200
Кормушка-поилка навесная MEZZALUNA 15 см оцинкованная сталь;1716A0000;709.00;183
Поилка под бутылку пластиковая;0036A0000;435.00;124
Поилка ниппельная с бачком DERBY 1 л 90° для кроликов и птиц;2019A0000;1130.00;172
Поилка под бутылку оцинкованная сталь;0091A0000;386.00;1381
Поилка под бутылку пластик/оцинкованная сталь, 2 шт.;0497F0000;846.00;223
Кормушка бункерная для кроликов 2 секции с держателем для учетной карточки, пластик без крышки;0034A0000;1460.00;70
Кормушка бункерная для кроликов 2 секции с держателем для учетной карточки, пластик, с крышкой;0034AF000;1730.00;48
Поилка вакуумная 1,5 л;002/02;331.00;374
Поилка вакуумная ANTAR 5 л с ручкой;002/14;1120.00;506
Поилка вакуумная MARTE 10 л с ручкой ;002/12;1560.00;808
Поилка вакуумная EFES 15 л с винтовой пробкой и ручкой ;002/16T;2330.00;32
Поилка-кормушка навесная 30 см оцинкованная сталь CF;035/10;1010.00;439
Инкубатор Brinsea Ovation 28 Zoologica;AF38;70600.00;0
Инкубатор Brinsea Ovation 56 Zoologica;AG48;92000.00;0
Датчик TH V4 Sensor ASM Maru;RCM-A301-11;3530.00;13
Миска, 11x15.5x5.5 см, 300 мл, синий;BO-3001-05-1;136.00;2
Миска, 11x15.5x5.5 см, 300 мл, красный;BO-3001-05-2;136.00;28
Миска, 11x15.5x5.5 см, 300 мл, оранжевый;BO-3001-05-3;136.00;69
Миска, 11x15.5x5.5 см, 300 мл, розовый;BO-3001-05-4;136.00;80
Миска двойная, 22x23.5x3.8 см, 200+200 мл, красный;BO-3005-06-1;140.00;112
Миска двойная, 22x23.5x3.8 см, 200+200 мл, желтый;BO-3005-06-2;140.00;129
Миска двойная, 22x23.5x3.8 см, 200+200 мл, синий;BO-3005-06-3;140.00;53
Миска двойная, 29.5x15x8 см, 450+450 мл, розовый;BO-3009-1;353.00;38
Миска двойная, 29.5x15x8 см, 450+450 мл, синий;BO-3009-2;353.00;36
Миска двойная, 29.5x15x8 см, 450+450 мл, красный;BO-3009-3;353.00;40
Миска двойная, 29.5x15x8 см, 450+450 мл, оранжевый;BO-3009-4;353.00;39
Миска двойная, 33x18.5x7 см, 670+670 мл, розовый;BO-3027A-1;566.00;46
Миска двойная, 33x18.5x7 см, 670+670 мл, желтый;BO-3027A-2;566.00;7
Миска двойная, 33x18.5x7 см, 670+670 мл, бежевый;BO-3027A-3;566.00;65
Миска двойная, 29x16x5.5 см, 470+470 мл, розовый;BO-3028A-2;445.00;28
Миска двойная, 33x18.5x7 см, 670+670 мл, голубой;BO-3027A-4;566.00;17
Миска двойная, 25.5x13.5x4.5 см, 330+330 мл, зеленый;BO-3029A-3;324.00;1
Миска двойная, 25x14x4.5 см, 180+180 мл, желтый;BO-3039-Z-4;286.00;47
Миска двойная, 25x14x4.5 см, 180+180 мл, зеленый;BO-3039-Z-5;286.00;45
Миска двойная, 25x14x4.5 см, 180+180 мл, синий;BO-3039-Z-6;286.00;44
Миска двойная, 23.5x14x5 см, 150+150 мл, синий;BO-3043A-1;242.00;44
Миска двойная, 23.5x14x5 см, 150+150 мл, фиолетовый;BO-3043A-3;242.00;22
Миска, 21,8x21,8x6,4 см, 800 мл, оранжевый;BO-3044-Z-1;324.00;35
Миска, 21,8x21,8x6,4 см, 800 мл, бежевый;BO-3044-Z-2;324.00;25
Миска, 21,8x21,8x6,4 см, 800 мл, зеленый;BO-3044-Z-3;324.00;25
Миска двойная, 26.5x15x5.5 см, 290+290 мл, серый;BO-3046A-1;363.00;31
Миска двойная, 26.5x15x5.5 см, 290+290 мл, голубой;BO-3046A-2;363.00;25
Миска двойная, 26.5x15x5.5 см, 290+290 мл, белый;BO-3046A-3;363.00;32
Миска двойная, 26.5x15х5.5 см, 290+290 мл, бежевый;BO-3046-Z-1;286.00;22
Миска двойная, 26.5x15х5.5 см, 290+290 мл, оранжевый;BO-3046-Z-2;286.00;57
Миска двойная, 26.5x15х5.5 см, 290+290 мл, зеленый;BO-3046-Z-3;286.00;80
Миска, 17.5x17.5x6 см, 340 мл, CAT белый;BO-3056-1;808.00;52
Миска, 17.5x17.5x6 см, 340 мл, DOG;BO-3056-2;808.00;47
Миска, 17.5x17.5x6 см, 340 мл, CAT;BO-3056-3;808.00;63
Миска, 17.5x17.5x6 см, 340 мл, бежевый;BO-3056Z-1;649.00;42
Миска, 17.5x17.5x6 см, 340 мл, оранжевый;BO-3056Z-2;649.00;39
Миска, 17.5x17.5x6 см, 340 мл, зеленый;BO-3056Z-3;649.00;38
Миска, 22x22x7.5 см, 700 мл, бежевый;BO-3057Z-1;973.00;3
Миска, 22x22x7.5 см, 700 мл, зеленый;BO-3057Z-2;973.00;16
Миска, 22x22x7.5 см, 700 мл, оранжевый;BO-3057Z-3;973.00;13
Миска, 22x22x8.5 см, 950 мл, зеленый;BO-3059-1;649.00;130
Миска, 22x22x8.5 см, 950 мл, розовый;BO-3059-2;649.00;137
Миска, 15x15x6.5 см, 350 мл, пудель;BO-3060-1;363.00;40
Миска, 15x15x6.5 см, 350 мл, хаски;BO-3060-2;363.00;52
Миска, 15x15x6.5 см, 350 мл, бультерьер;BO-3060-3;363.00;25
Миска, 15x15x6.5 см, 350 мл, листья;BO-3060-4;363.00;66
Миска, 18.5x18.5x7.5 см, 630 мл, черный;BO-3062-1;528.00;34
Миска, 18.5x18.5x7.5 см, 630 мл, зеленый;BO-3062-2;528.00;40
Миска, 18.5x18.5x7.5 см, 630 мл, белый;BO-3062-3;528.00;4
Миска для собак и кошек, 15х15х4,8 см, 250 мл, оранжевый;BO-3067Z-2;286.00;0
Миска двойная, 26x15x5.5 см, 250+250 мл, розовый;BO-3099Z-1;484.00;18
Миска двойная, 26x15x5.5 см, 250+250 мл, синий;BO-3099Z-2;484.00;16
Миска двойная, 26x15x5.5 см, 250+250 мл, желтый;BO-3099Z-3;484.00;16
Миска двойная, 26x15x5.5 см, 250+250 мл, зеленый;BO-3099Z-4;484.00;8
Миска двойная, 26x15x5.5 см, 250+250 мл, голубой;BO-3099Z-5;484.00;18
Миска двойная, 26x15x5.5 см, 250+250 мл, фиолетовый;BO-3099Z-6;484.00;13
Миска для собак и кошек, 15x13.5x5.5 см, 250 мл, розовый;BO-3101Z-1;286.00;18
Миска для собак и кошек, 15x13.5x5.5 см, 250 мл, синий;BO-3101Z-3;286.00;61
Миска для собак и кошек, 15x13.5x5.5 см, 250 мл, зеленый;BO-3101Z-5;286.00;57
Миска для собак и кошек, 15x13.5x5.5 см, 250 мл, желтый;BO-3101Z-6;286.00;0
Миска, 17.5x17.5x6.6 см, 340 мл, оранжевый;BO-3119H(A5)-1;1170.00;20
Миска, 17.5x17.5x6.6 см, 340 мл, черный;BO-3119H(A5)-2;1170.00;15
Миска, 17.5x17.5x6.6 см, 340 мл, красный;BO-3119H(A5)-3;1170.00;12
Миска 17.5x17.5x6.6 см, 340 мл, синий;BO-3119H(A5)-4;1170.00;10
Миска для собак и кошек, 11x16x4.8 см, 180 мл, голубой;BO-3134A5-1;852.00;18
Миска для собак и кошек, 11x16x4.8 см, 180 мл, желтый;BO-3134A5-2;852.00;11
Миска для собак и кошек, 11x16x4.8 см, 180 мл, оранжевый;BO-3134A5-3;852.00;7
Миска для собак и кошек, 11x16x4.8 см, 180 мл, зеленый;BO-3134A5-4;852.00;23
Миска для собак и кошек, 11x16x4.8 см, 180 мл, Delicious;BO-3134H(A5)-1;890.00;17
Миска для собак и кошек, 11x16x4.8 см, 180 мл, цветы;BO-3134H(A5)-2;890.00;32
Миска для собак и кошек, 11x16x4.8 см, 180 мл, собака;BO-3134H(A5)-3;890.00;18
Миска для собак и кошек, 11x16x4.8 см, 180 мл, косточка;BO-3134H(A5)-4;890.00;32
Миска для собак и кошек, 11x16x4.8 см, 180 мл, абстракция;BO-3134H(A5)-5;890.00;24
Миска для собак и кошек, 11x16x4.8 см, 180 мл, геометрия;BO-3134H(A5)-6;890.00;31
Миска, 14x19x5.5 см, 420 мл, цветы;BO-3135H(A5)-1;1250.00;18
Миска, 14x19x5.5 см, 420 мл, геометрия;BO-3135H(A5)-2;1250.00;18
Миска, 14x19x5.5 см, 420 мл, косточка;BO-3135H(A5)-3;1250.00;21
Миска, 14x19x5.5 см, 420 мл, Delicious;BO-3135H(A5)-4;1250.00;20
Миска двойная со съемными металлическими чашами, 26.5x15.5x6 см, 150+150 мл, оранжевый;BO-3136A5-1;1580.00;50
Миска двойная со съемными металлическими чашами, 26.5x15.5x6 см, 150+150 мл, голубой;BO-3136A5-2;1580.00;40
Миска двойная со съемными металлическими чашами, 26.5x15.5x6 см, 150+150 мл, желтый;BO-3136A5-3;1580.00;49
Миска двойная со съемными металлическими чашами, 26.5x15.5x6 см, 150+150 мл, зеленый;BO-3136A5-4;1580.00;50
Миска двойная со съемными металлическими вставками, 27x15x6 см, 150+150 мл, зеленый;BO-3137A5-1;1620.00;2
Миска двойная со съемными металлическими вставками, 27x15x6 см, 150+150 мл, оранжевый;BO-3137A5-2;1620.00;7
Миска двойная со съемными металлическими вставками, 27x15x6 см, 150+150 мл, желтый;BO-3137A5-4;1620.00;2
Миска двойная со съемными металлическими чашами, 27x15x6 см, 150+150 мл, зеленый, цветы;BO-3137H(A5)-1;1700.00;31
Миска двойная со съемными металлическими чашами, 27x15x6 см, 150+150 мл, синий, цветы;BO-3137H(A5)-2;1700.00;37
Миска двойная со съемными металлическими чашами, 27x15x6 см, 150+150 мл, розовый, цветы;BO-3137H(A5)-3;1700.00;23
Миска для собак и кошек, 11x14.8x5 см, 150 мл, желтый;BO-3138A5-1;973.00;26
Миска для собак и кошек, 11x14.8x5 см, 150 мл, голубой;BO-3138A5-2;973.00;22
Миска для собак и кошек, 11x14.8x5 см, 150 мл, оранжевый;BO-3138A5-3;973.00;25
Миска для собак и кошек, 11x14.8x5 см, 150 мл, зеленый;BO-3138A5-4;973.00;26
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, гирлянда, розовый;BO-3139G5-1;1190.00;39
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, гирлянда, черный;BO-3139G5-2;1190.00;31
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, шоколадное пироженое;BO-3139G5-3;1190.00;52
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, розовое пироженое;BO-3139G5-4;1190.00;49
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, зеленый;BO-3139H(A5)-1;973.00;40
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, красный;BO-3139H(A5)-2;973.00;33
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, синий;BO-3139H(A5)-3;973.00;49
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, оранжевый;BO-3139H(A5)-4;973.00;36
Миска для собак и кошек, 14.5x14.5x5 см, 150 мл, голубой;BO-3139H(A5)-5;973.00;37
Миска двойная, 26x14.5x3.5 см, 200+250 мл, синий;BO-3140Z-4;1050.00;1
Миска двойная, 26x14.5x3.5 см, 200+250 мл, серый;BO-3140Z-6;1050.00;0
Миска для собак и кошек, 14.5x14.5x3.5 см, 260 мл, черный;BO-3141Z-1;731.00;72
Миска для собак и кошек, 14.5x14.5x3.5 см, 260 мл, оранжевый;BO-3141Z-2;731.00;72
Миска для собак и кошек, 14.5x14.5x3.5 см, 260 мл, синий;BO-3141Z-3;731.00;67
Миска для собак и кошек, 14.5x14.5x3.5 см, 260 мл, серый;BO-3141Z-4;731.00;62
Миска для собак и кошек, 14.5x14.5x3.5 см, 260 мл, бежевый;BO-3141Z-5;731.00;49
Миска для собак и кошек, 14.5x14.5x3.5 см, 260 мл, красный;BO-3141Z-6;731.00;60
Миска двойная, 30x12x4.5 см, 300+300 мл, домик, белый;BO-3148G(A5)-1;2160.00;55
Миска двойная, 30x12x4.5 см, 300+300 мл, домик, черный;BO-3148G(A5)-2;2160.00;35
Миска двойная, 30x12x4.5 см, 300+300 мл, собака, белый;BO-3148G(A5)-3;2160.00;9
Миска двойная, 30x12x4.5 см, 300+300 мл, собака, черный;BO-3148G(A5)-4;2160.00;23
Миска двойная, 26.5x15.5x7 см, 200+200 мл, розовый;BO-3151Z-1;968.00;43
Миска двойная, 26.5x15.5x7 см, 200+200 мл, голубой;BO-3151Z-2;968.00;42
Миска двойная, 23x12.5x4 см, 150+150 мл, розовый;BO-3152Z-1;745.00;24
Миска двойная для собак и кошек из бамбукового волокна, 23x12.5x4 см, 150+150 мл, голубой;BO-3152Z-2;745.00;20
Миска двойная, 26.5x15x5 см, 300+250 мл, фиолетовый;BO-3156Z-1;895.00;36
Миска двойная, 26.5x15x5 см, 300+250 мл, голубой;BO-3156Z-2;895.00;37
Миска бамбуковая для собак и кошек, 12.5x12x4 см, 150 мл, фиолетовый;BO-3157Z-1;523.00;7
Миска бамбуковая для собак и кошек, 12.5x12x4 см, 150 мл, голубой;BO-3157Z-2;523.00;11
Миска с металлической вставкой, 20x21x6 см, розовый;BO-3158H(A5)-1;1490.00;46
Миска с металлической вставкой, 20x21x6 см, голубой;BO-3158H(A5)-2;1490.00;45
Миска с металлической вставкой, 20x21x6 см, фиолетовый;BO-3158H(A5)-3;1490.00;51
Миска для медленного кормления, 26.9x23.2x7.2 см, 700 мл, розовый;BO-3161Z-1;1130.00;25
Миска для медленного кормления, 26.9x23.2x7.2 см, 700 мл, желтый;BO-3161Z-2;1130.00;10
Миска для медленного кормления, 26.9x23.2x7.2 см, 700 мл, фиолетовый;BO-3161Z-3;1130.00;15
Миска для медленного кормления, 26.9x23.2x7.2 см, 700 мл, зеленый;BO-3161Z-4;1130.00;18
Миска для медленного кормления, 22.5x19.6x7 см, 350 мл, розовый;BO-3162Z-1;1130.00;1
Миска, 14.4x14.4x5.4 см, 500 мл, розовый;BO-3163Z-1;692.00;26
Миска, 14.4x14.4x5.4 см, 500 мл, фиолетовый;BO-3163Z-2;692.00;26
Миска, 14.4x14.4x5.4 см, 500 мл, желтый;BO-3163Z-3;692.00;21
Миска, 14.4x14.4x5.4 см, 500 мл, зеленый;BO-3163Z-4;692.00;23
Миска, 15.1x14.8x5.5 см, 430 мл, розовый;BO-3164Z-1;755.00;16
Миска, 15.1x14.8x5.5 см, 430 мл, фиолетовый;BO-3164Z-2;755.00;3
Миска, 15.1x14.8x5.5 см, 430 мл, желтый;BO-3164Z-3;755.00;15
Миска, 15.1x14.8x5.5 см, 430 мл, зеленый;BO-3164Z-4;755.00;18
Миска двойная, 29.9x18.9x5.5 см, 360+430 мл, розовый;BO-3165Z-1;1130.00;11
Миска двойная, 29.9x18.9x5.5 см, 360+430 мл, фиолетовый;BO-3165Z-2;1130.00;13
Миска двойная, 29.9x18.9x5.5 см, 360+430 мл, желтый;BO-3165Z-3;1130.00;7
Миска двойная, 29.9x18.9x5.5 см, 360+430 мл, зеленый;BO-3165Z-4;1130.00;4
Миска игровая, 15.5x4.7 см, 350 мл, розовый;BO-3166-1;503.00;16
Миска игровая, 15.5x4.7 см, 350 мл, голубой;BO-3166-3;503.00;14
Миска игровая 15.5x4.7 см, 350 мл, фиолетовый;BO-3166-4;503.00;14
Перосъёмные пальцы PR133-65;DI133SH65;52.00;3990
Кормушка бункерная COLOMBI 3,5 кг;0791AF000;1990.00;3
Кормушка бункерная COLOMBI 5 кг ;1987AC000;2590.00;11
Насадка Heiniger 1/16 2 мм;707-981;1040.00;0
Насадка Heiniger 1/2“ 14 мм;707-984;988.00;3
Насадка Heiniger 3/4“ 18 мм;707-985;988.00;1
Насадка Heiniger 1“ 25 мм;707-986;1330.00;2
Насадка Heiniger 1 1/4“ 32 мм;707-987;1380.00;1
Поворотная головка для машинки Heiniger Expert ;717-701;6030.00;1
Корпус стригальной головки для машинки Heiniger Xpert ;708-241;5030.00;2
Когтеточка-лежак 40х40х50 см, с игрушкой, кремовый;PS260-1;7010.00;38
Когтеточка-домик 45х40х50 см,  черный;PS249-1;14700.00;39
Когтеточка-домик 50х40х50 см, черный;PS249-2;14700.00;28
Когтеточка-комплекс с гамаком 40х40х85 см, коричневый;PS270;12500.00;73
Когтеточка-пуфик 50х35х60 см, коричневый;PS344;15300.00;37
Когтеточка-пуфик 50х35х60 см, белый;PS344-1;15300.00;20
Когтеточка-пуфик 50х35х60 см, бежевый;PS344-2;15300.00;27
Когтеточка-комплекс с домиком 48х48х141 см, бежевый;SBE911;22500.00;35
Когтеточка-домик 35х35х75 см, бежевый;SBE1119-75sm;12100.00;105
Когтеточка-коврик 50х32 см, бежевый;SBE804;1750.00;63
Когтеточка-комплекс 45х45х197 см, бежевый;SBE1419;21200.00;0
Когтеточка-пирамида 24х24х40 см, коричневый;SBE1408;1930.00;54
Когтеточка-коврик с роликом 36х42х24 см, черный;SBE130130;2870.00;127
Когтеточка-комплекс с домиком 40х35х109 см, бежевый;SBE896;8620.00;112
Когтеточка-комплекс с домиком 60х30х96 см, бежевый;SBE1303;11700.00;127
Когтеточка-комплекс 50х35х116 см, бежевый;SBE1418;8670.00;189
Кран шаровой водопроводный 10х10 мм;KK10;392.00;86
Когтерез Catidea кремовый;CG12-Cream;549.00;0
Когтерез Catidea серый;CG12-Rock;549.00;0
Туалет Catidea для собак 50х37х6 бежевый;No7-Brown;1370.00;184
Кормушка бункерная 3,5 кг пластик с разделительной решеткой на ножках;2203AF000;2370.00;35
Кормушка бункерная 7 кг пластик с разделительной решеткой на ножках;2198AF000;3230.00;27
Кормушка бункерная 15 кг пластик с разделительной решеткой на ножках;2199AF000;3910.00;39
Кормушка бункерная 10 кг пластик на ножках;2200AF000;3460.00;8
Кормушка бункерная 18 кг пластик на ножках;2201AF000;3890.00;10
Клетка для кроликов 120 см двухсекционная с гнездами для самок;2214ASMON;49800.00;0
Клетка для кроликов 120 см двухсекционная;2213ASMON;35200.00;0
Клетка для кроликов 120 см трехсекционная;2212ASMON;38100.00;0
Бачок накопительный, 1 подключение;0139A0000;4940.00;0
Бачок накопительный, 2 подключения;0140A0000;5300.00;0
Гнездо для кроликов внешнее;2215A0000;9290.00;0
Защелка пластиковая для клеток;3947P;13.00;0
Кормушка-поилка навесная 2 секции пластик;MX-7;248.00;3
Гнездо для голубей диаметр 23 глубокое;MX-18;273.00;2
Поилка вакуумная 3 л ;MX-32;589.00;12
Инкубатор Janoel 24 автоматический ;JNL-24;10900.00;241
Автоматическая поилка Jumbo J-B в сборе;30-03-3310;4600.00;0
Кормушка-поилка навесная диаметр 12 см пластик;2112A0000;249.00;221
Шланг диаметр 20 мм, мягкий, 1 м;0103A0000;428.00;60
Соединение крестовое диаметр 10 мм;0516A0000;102.00;119
Мышеловка пластиковая L12см диаметр 5 см;2046AF000;299.00;39
Инкубатор Janoel 42 автоматический;JNL-42;9970.00;450
Инкубатор Rcom 10 PRO автоматический для яиц;PX-10;20900.00;11
Инкубатор для яиц рептилий Rcom 90 MAX автоматический;MX-R90;33800.00;18
Инкубатор для яиц рептилий Rcom 90 PRO автоматический;PX-R90;46400.00;5
Гидропонная установка Rfarm 650 MAX;MX-650;62500.00;0
Гидропонная установка Rfarm 850 MAX;MX-850;80900.00;0
Гигрометр/термометр Rcom Digilog 3;PX-V3-10;3200.00;0
Котел для ошпаривания птицы 150 л нержавеющая сталь 3 кВт;462-210;117600.00;0
Котел для ошпаривания птицы 150 л нержавеющая сталь 6 кВт;462-310;103100.00;0
Крышка для котла;463-011;13400.00;0
Емкость для воска 60 л нерж. сталь;462-020;26700.00;0
Котел для ошпаривания птицы 150 л нержавеющая сталь на ножках 6 кВт;462-315;136200.00;0
Котел для ошпаривания птицы 150 л нержавеющая сталь двойные стенки на ножках 6 кВт;462-415;206300.00;0
Котел для ошпаривания птицы 300 л нержавеющая сталь на ножках 12  кВт;462-350;227300.00;0
Котел для ошпаривания птицы 300 л нержавеющая сталь двойные стенки на ножках 12 кВт;462-360;409200.00;0
Котел для ошпаривания птицы 400 л промышленный;462-015;961000.00;0
Котел для ошпаривания птицы 400 л промышленный двойные стенки 12 кВт;462-030;1467400.00;0
Котел для ошпаривания птицы 400 л промышленный двойные стенки 15 кВт;462-050;1679200.00;0
Шкаф управления промышленным котлом автоматический;462-060;274900.00;0
Поилка вакуумная 0,75 л;1983AF000;376.00;267
Насадка резиновая для ножек;MP02037;173.00;5
Бачок маслораспылителя;MP01061;260.00;2
Ручка резиновая;MP02036;199.00;1
Заглушка для коллектора внешняя;MP01047;156.00;2
Доильный аппарат Cullas G-1SK для коров;G-1SK;75300.00;2
Шланг для доильного аппарата;END-005;90.00;10
Инкубатор Rcom 10 PRO Plus с овоскопом;PX-10P;23000.00;5
Машинка Heiniger Xpert 2-Speed для стрижки овец;708-220-00;40100.00;15
Машинка Heiniger Saphir Pink для стрижки собак с 2-я аккумуляторами;707-730-70;29200.00;25
Измельчитель зерна Фермер ИЗЭ-14М 320 кг/час;ИЗЭ-14М;5970.00;3
Измельчитель зерна Фермер ИЗЭ-25М 400 кг/час;ИЗЭ-25М;6360.00;3
Домашний кормоцех универсальный ДКУ-05 Адонис Оптимус 3 в 1;ДКУ-05;8720.00;9
Выводной инкубатор Rcom Maru 100 Hatcher/Brooder Deluxe автоматический для яиц;MX-H100BD;98200.00;0
Выводной инкубатор Rcom Maru 380 Hatcher/Brooder Deluxe автоматический для яиц;MX-H380BD;101400.00;0
Шланг диаметр  9х10 мм, мягкий, 1 м;0101A0000;118.00;4240
Машинка Heiniger Xperience 2-Speed для стрижки лошадей и КРС;708-020-30;34200.00;18
Комплект насадок Heiniger (2 - 32 мм);707-980;7430.00;0
Кормушка бункерная 5 кг пластик для цыплят с крышкой;1850AC000;2860.00;7
